膻	羶
臀	臋
臊	鱢
舆	輿
舍	捨
舣	艤
舰	艦
舱	艙
舵	柁
船	舩
舻	芶
艰	芼
艳	苂
艺	藝
节	節
芗	薵
芜	蕪
芦	蘪
花	蘤
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萶
苍	蒼
苎	苧
苏	蘫
苘	檾
苹	蘯
范	範
茎	莖
茏	蘢
茑	蔦
茔	塴
茕	煢
茜	蒨
茧	纎
茬	茌
荇	莕
草	苃
荚	莢
荛	蕘
荜	蓽
荞	蕎
荟	薱
荠	薺
荡	蕩
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭
荬	蕒
荭	葒
荮	葤
药	藥
莅	涖
莱	萺
莲	蓮
莴	萵
莶	藈
获	獲
莸	蕕
莹	瑩
莺	鴬
莼	蒾
菰	苽
菱	蓤
菹	葅
萝	蘿
萤	螢
营	爄
萦	縨
萧	蕭
萨	薩
萱	萲
萼	蕚
董	蕫
葬	奘
葱	蔥
蒂	蕂
蒇	蕆
蒉	蕢
蒋	蕐
蒌	蕍
蓑	簑
蓝	藍
蓟	薳
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔹	蘞
蔺	蘟
蔼	藹
蕊	蕋
蕲	蘨
蕴	蘮
薮	藪
薯	藷
藓	蘚
藤	鰧
蘖	櫱
虏	虜
虑	慮
虫	蟲
虬	蚢
虮	蟣
虻	蝱
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚌	蝝
蚕	衠
蚝	蠔
蚬	蜆
蛇	蚮
蛊	衜
蛎	蠣
蛏	蟶
蛔	蜖
蛮	衭
蛰	蟯
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜗	蝸
蜡	蠟
蜮	魊
蝇	蠅
蝈	蟲
蝉	蟬
蝎	蠍
蝶	蝖
蝼	蟦
蝾	蠑
螂	蜋
螨	蟎
螺	蠃
蟆	蟱
蟹	蠏
蠢	惷
蠹	衏
衄	衵
衔	銜
补	補
衬	襯
衽	裧
袄	襖
袅	製
袒	襢
袜	襪
袭	襲
袷	奱
装	裝
裆	襠
裉	褃
裙	帬
裝	襲
裢	褳
裣	襝
裤	褲
裥	襪
裴	裵
裸	躶
褓	緥
褴	襤
见	見
观	觀
规	規
觅	覓
视	視
觇	覘
览	覽
觉	觴
觊	觠
觋	覡
觌	覿
觎	觗
觏	觤
觐	觩
觑	觰
觞	觴
觥	觵
触	觸
觯	觶
誉	譽
誊	謄
计	計
订	訂
讣	訃
认	誮
讥	譱
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	謒
讴	謳
讵	詎
讶	訝
讷	詆
许	詓
讹	訛
论	論
讻	詋
讼	詀
讽	謘
设	詏
访	詌
诀	詄
证	証
诂	詁
诃	詘
评	評
诅	詛
识	譺
诈	詐
诉	詖
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誩
诔	誧
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誨
诜	詵
话	話
诞	誵
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诫	誡
诬	誣
语	誾
诮	誺
误	誤
诰	誥
诱	誸
诲	誨
诳	課
说	説
诵	誦
诶	誳
请	請
诸	謙
诹	諏
诺	謟
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谊	誼
谋	謀
谌	謗
谍	諜
谎	謊
谏	謌
谐	謈
谑	謔
谒	謁
谓	謂
谔	諤
谕	謎
谖	謝
谗	讒
谘	謏
谙	謔
谚	講
谛	謆
谜	謎
谝	諞
谟	謨
谠	讜
谡	謖
谢	謝
谣	謡
谤	謗
谥	謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谬	謬
谭	譼
谮	譸
谯	譻
谰	讕
谱	譾
谲	議
谳	讞
谴	譴
谵	譫
貌	皃
贝	貝
贞	貞
负	負
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	賖
购	購
贮	賏
贯	貫
贰	賓
贱	賤
贲	賡
贴	賜
贵	賔
贶	賚
贷	賘
贸	賟
费	賛
贺	賠
贻	賝
贼	賊
贽	贄
贾	賨
贿	賤
赀	賒
赁	賣
赂	賢
赃	趎
资	賧
赅	賥
赆	赽
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	賫
赎	趆
赏	賞
赐	賜
赓	賡
赔	賠
赕	賧
赖	賴
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贋
赞	贊
赠	贈
赡	贍
赢	赼
赣	趍
赵	趙
赶	趕
趁	趂
趋	趨
趱	趲
趸	躱
跃	躶
跄	蹌
跖	蹠
跞	躹
践	踐
跷	躤
跸	蹕
跹	躚
跺	踘
跻	躴
踊	踴
踌	躳
踩	踦
踪	蹤
踬	躻
踯	躸
蹄	蹏
蹑	躡
蹒	蹣
蹴	躠
蹶	躡
蹿	躥
躏	躪
躜	躦
躬	躳
躯	軀
躲	躱
车	車
轧	軋
轨	軌
轩	軒
轫	軔
转	辒
轭	軛
轮	輪
软	軟
轰	込
轱	輒
轲	輛
轳	轤
轴	輘
轶	輜
轷	軤
轸	輋
轹	轢
轺	輚
轻	輕
轼	輞
载	載
轾	輊
轿	辤
辁	輇
辂	輅
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轪
辙	辢
辚	辭
辞	辭
辣	辢
辩	辯
辫	辮
边	邊
辽	遼
达	達
迁	遷
过	過
迈	邁
运	運
还	還
这	這
进	適
远	遠
违	違
连	遙
迟	遲
迥	逈
迩	邇
迹	踖
适	適
选	選
逊	遜
递	遞
逖	遬
逦	邐
逻	邏
逼	偪
遁	遯
遗	遺
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郏	鄍
郐	鄶
郑	鄭
郓	鄆
郦	醔
郧	鄖
郸	鄲
鄹	鄖
酝	醖
酬	詶
酱	醬
酽	釅
酾	釃
酿	釀
醇	醕
采	採
释	釋
里	褃
鉴	鑒
銮	鑾
錾	鐈
钆	釓
钇	釔
针	針
钉	釘
钊	釗
钋	釙
钌	釕
钍	鈗
钎	鈚
钏	鈇
钐	釤
钒	鈉
钓	釣
钔	鍆
钕	鈙
钗	鈕
钙	鈣
