皏	痴
皐	皋痒
皒	疖
皔	症
皚	皑
皰	疱
皷	鼓
皸	皲
皺	皱
皻	齩
盿	盍
眐	盏
眔	监
眕	盘
眗	卢
眥	眦
瞇	眯
瞐	睐
瞑	眠
瞔	眷
瞘	眍
瞞	瞒
瞪	瞠
瞼	睑
矁	瞅
矚	瞩
矦	侯
砤	砣
砪	矫
砱	碇
硤	硖
硨	砗
硯	砚
碸	砜
確	确
碼	码
磖	砬
磘	硕
磚	砧砖
磝	砀
磣	碜
磧	碛
磯	矶
磽	硗
礫	砾
礬	矾
礱	础砻
祂	碍
祇	祗
祐	矿
祑	擂
祕	砺
禍	祸
禎	祯
禰	祢
禱	祷
禸	祎
秄	耔
秈	籼
秌	秋
秏	祃
秛	禅
秠	礼
稈	秆
穅	糠
穉	稚
穌	稣
穎	颍颖
穖	秸
穘	种
穛	称
穡	穑
穢	稿秽
穤	糯
穩	稳
窓	窗
窛	筘
竅	窍
竇	窦
竈	灶
竊	窃
竎	窝
竑	穷
竒	窑
竚	窭
竡	窥
竪	竖
竮	窜
競	竞
竾	篪
筧	笕
筩	筒
筯	箸
筽	笔
箂	笋
箊	策
箋	笺
箠	棰
箲	筅
節	节
範	范
篲	彗
篳	筚
篵	筑
簀	箦
簈	涅
簍	篓
簐	笃
簑	蓑
簓	筛
簞	箪
簡	简
簣	篑
簫	箫
簮	簪
簷	檐
簽	签
簾	帘
籃	篮
籟	籁
籠	笼
籩	笾
籪	簖
籬	篱
籭	筹
籮	箩
粁	箨
粃	秕
粇	粳
粰	稃
粺	稗
糲	粝
糴	籴
糵	粽
糶	粜
糾	纠
紀	纪
紂	纣
紃	糁
約	粪约
紅	红糨
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
紌	粮
納	纳
紐	纽
紓	纾
純	纯
紗	纱
紙	纸
級	级
紛	纷
紜	纭
紡	纺
紥	扎
細	细
紱	绂
紲	绁
紳	绅
絙	绍
絚	绀
絜	绋
絝	绔
絞	绞
絟	绐
絠	绌
絢	绚终
絣	弦
絤	组
給	绊给
絨	绒
絯	绗
統	结统
絲	丝
絳	绛
絶	绝
絹	绢
綁	绑
綃	绡
綈	绨
綉	绣
綏	绥
綑	捆
經	经
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫综
綿	绵
緄	绸
緅	绻
緇	綦缁
緊	紧
緋	绯
緌	线
緍	绶
緎	维
緐	绾
緑	纲绿
緒	网绪
緓	绷
緔	绱缀
緗	缃
緙	缂
線	缐
緝	缉
緞	缎
締	缔
緡	缗
緣	缘
緥	褓
緦	缌
編	编
緩	缓
緬	缅
緯	纬
緱	缑
緲	缈
練	练
緶	缏
緹	缇
縛	缚
縜	缊
縝	缜
縟	缛
縣	县
縧	绦
縨	萦
縩	缙
縪	缢
縫	缝缒
縭	缡
縮	缩
縰	绉
縱	缣纵
縲	缧
縴	纤
縵	缦
縶	絷
縷	缕
縹	缥
總	总
績	绩
繅	缫
繆	缪
繋	系
繒	缯
織	织
繕	缮
繚	缭
繞	绕
繹	绎
繼	继
繽	缤
繾	缱
纃	缋
纈	缬
纊	纩绳
纋	绘
續	续
纍	累
纎	茧
纏	缠缰
纐	缳
纑	缲
纓	缨
纔	缴
纘	缵
纜	缆
缾	瓶
罇	樽
罋	瓮
罌	罂
羅	罗
羆	罴
羈	羁
羗	羌
羛	罚
羣	罢群
羥	羟
義	义
羶	膻
翄	翅
習	习
耬	耧
耮	耢
耼	聃翘
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍凝
聽	听
聾	聋
胏	肃
胐	肇
胓	肯
胕	骼
胳	髂
胷	胸
胹	胚
胾	疣
脀	吻
脅	胁
脛	胫
脣	唇
脹	胀
腫	肿
腸	肠
膇	肾
膌	胨
膖	脶
膚	肤
膞	脑
膠	胶
膩	腻
膽	胆
膾	脍
膿	脓
臉	脸
臋	臀
臍	脐
臏	膑
臿	膘
與	与
興	腊兴
舉	举胭
舊	旧胪
舓	脏
舕	脔
舙	卧
舝	临
舩	船
艙	舱
艤	舣
艦	舰
芶	舻
芻	刍
芼	艰
苂	艳
苃	草
苧	苎
苽	菰
茌	茬
莊	庄
莕	荇
莖	茎
莢	荚
莧	苋
萢	华
萬	万
萲	萱
萵	春莴
萶	苌
萺	莱
葅	菹
葉	叶
葒	荭
葤	荮
葦	苇
葷	荤
蒨	茜
蒻	箬
蒼	苍
蒾	莼
蓀	荪
蓆	席
蓋	盖
蓤	菱
蓮	莲
蓯	苁
蓽	荜
蔥	葱
蔦	茑
蔭	荫
蕁	卜荨
蕂	蒂
蕆	蒇
蕋	蕊
蕍	蒌
蕎	荞
蕐	蒋
蕒	荬
蕕	莸
蕘	荛
蕚	萼
蕢	蒉
蕩	荡
蕪	芜
蕫	董
蕭	萧
蕱	筲
蕷	蓣
薩	萨
薱	荟
薳	蓟
薵	芗
薺	荠
藈	莶
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藶	苈
藷	薯
藹	蔼
蘚	藓
蘞	蔹
蘟	蔺
蘢	茏
蘤	花
蘨	蕲
蘪	芦糜
蘫	苏
蘭	兰
蘮	蕴
蘯	苹
蘺	蓠
蘿	萝
處	处
虜	虏
號	号
虧	亏
蚢	虬
蚮	蛇
蛂	刖
蛺	蛱
蜆	蚬
蜋	螂
蜖	蛔
蝕	蚀
蝖	蝶
蝝	蚌
蝟	猬
蝦	虾
蝱	虻
蝸	蜗
螄	蛳
螞	蚂
螢	萤
蟎	螨
蟣	虮
蟦	蝼
蟬	蝉
蟯	蛲蛰
蟱	蟆
蟲	虫蝈
蟶	蛏
蟻	蚁
蠃	螺
蠅	蝇
蠆	虿
蠍	蝎
蠏	蟹
蠐	蛴
蠑	蝾
蠔	蚝
蠟	蜡
蠣	蛎
衆	众
衏	蠹
術	术
衛	卫
衜	蛊
衝	冲
衠	蚕
衭	蛮
衵	衄
袟	帙
裘	求
補	补
裝	装
裧	衽
裵	裴
製	袅
褃	裉里
