杞国忧天	qǐ/guó/yōu/tiān
杞天之虑	qǐ/tiān/zhī/lǜ
杞宋无征	qǐ/sòng/wú/zhēng
杞梓之林	qǐ/zǐ/zhī/lín
束上起下	shù/shàng/qǐ/xià
束之高屋	shù/zhī/gāo/wū
束之高阁	shù/zhī/gāo/gé
束修自好	shù/xiū/zì/hǎo
束兵秣马	shù/bīng/mò/mǎ
束发	shù/fà
束发封帛	shù/fā/fēng/bó
束在高阁	shù/zài/gāo/gé
束带结发	shù/dài/jié/fā
束广就狭	shù/guǎng/jiù/xiá
束戈卷甲	shù/gē/juàn/jiǎ
束手听命	shù/shǒu/tīng/mìng
束手坐视	shù/shǒu/zuò/shì
束手就困	shù/shǒu/jiù/kùn
束手就擒	shù/shǒu/jiù/qín
束手就殪	shù/shǒu/jiù/yì
束手就毙	shù/shǒu/jiù/bì
束手就禽	shù/shǒu/jiù/qín
束手就缚	shù/shǒu/jiù/fù
束手待死	shù/shǒu/dài/sǐ
束手待毙	shù/shǒu/dài/bì
束手旁观	shù/shǒu/páng/guān
束手无措	shù/shǒu/wú/cuò
束手无术	shù/shǒu/wú/shù
束手无策	shù/shǒu/wú/cè
束手无计	shù/shǒu/wú/jì
束手束脚	shù/shǒu/shù/jiǎo
束手束足	shù/shǒu/shù/zú
束手缚脚	shù/shǒu/fù/jiǎo
束手自毙	shù/shǒu/zì/bì
束教管闻	shù/jiào/guǎn/wén
束杖理民	shù/zhàng/lǐ/mín
束椽为柱	shù/chuán/wéi/zhù
束缊举火	shù/yūn/jǔ/huǒ
束缊请火	shù/yùn/qǐng/huǒ
束缊还妇	shù/yūn/huán/fù
束置高阁	shù/zhì/gāo/gé
束肩敛息	shù/jiān/liǎn/xī
束蒲为脯	shù/pú/wéi/pú
束蕴乞火	shù/yùn/qǐ/huǒ
束蕴请火	shù/yùn/qǐng/huǒ
束装就道	shù/zhuāng/jiù/dào
束装盗金	shù/zhuāng/dào/jīn
束贝含犀	shù/bèi/hán/xī
束身受命	shù/shēn/shòu/mìng
束身就缚	shù/shēn/jiù/fù
束身自修	shù/shēn/zì/xiū
束身自好	shù/shēn/zì/hào
束身自爱	shù/shēn/zì/ài
束马县车	shù/mǎ/xiàn/chē
束马悬车	shù/mǎ/xuán/chē
杠夫	gàng/fū
杠头	gàng/tóu
杠子	gàng/zi
杠杆	gàng/gǎn
杠杠	gàng/gàng
杠铃	gàng/líng
条三窝四	tiáo/sān/wō/sì
条令	tiáo/lìng
条件	tiáo/jiàn
条件刺激	tiáo/jiàn/cì/jī
条件反射	tiáo/jiàn/fǎn/shè
条例	tiáo/lì
条修叶贯	tiáo/xiū/yè/guàn
条入叶贯	tiáo/rù/yè/guàn
条几	tiáo/jī
条凳	tiáo/dèng
条分缕析	tiáo/fēn/lǚ/xī
条分节解	tiáo/fēn/jié/jiě
条子	tiáo/zi
条幅	tiáo/fú
条干	tiáo/gàn
条形	tiáo/xíng
条播	tiáo/bō
条文	tiáo/wén
条条	tiáo/tiáo
条条大路通罗马	tiáo/tiáo/dà/lù/tōng/luó/mǎ
条条框框	tiáo/tiáo/kuàng/kuàng
条案	tiáo/àn
条桌	tiáo/zhuō
条款	tiáo/kuǎn
条状	tiáo/zhuàng
条理	tiáo/lǐ
条畅	dí/dàng
条痕	tiáo/hén
条目	tiáo/mù
条石	tiáo/shí
条约	tiáo/yuē
条纹	tiáo/wén
条绒	tiáo/róng
条规	tiáo/guī
条解支劈	tiáo/jiě/zhī/pī
条贯	tiáo/guàn
条贯部分	tiáo/guàn/bù/fēn
条陈	tiáo/chén
来不及	lái/bù/jí
来不得	lái/bù/dé
来世不可待	lái/shì/bù/kě/dài
来之不易	lái/zhī/bù/yì
来信	lái/xìn
来劲	lái/jìn
来势汹汹	lái/shì/xiōng/xiōng
来历不明	lái/lì/bù/míng
来去分明	lái/qù/fēn/míng
来去无踪	lái/qù/wú/zōng
来回来去	lái/huí/lái/qù
来回票	lái/huí/piào
来因去果	lái/yīn/qù/guǒ
来处不易	lái/chù/bù/yì
来头	lái/tou
来好息师	lái/hǎo/xī/shī
来得	lái/de
来得及	lái/de/jí
来情去意	lái/qíng/qù/yì
来日大难	lái/rì/dà/nàn
来日方长	lái/rì/fāng/cháng
来是是非人，去是是非者	lái/shì/shì/fēi/rén/<py_unk>/qù/shì/shì/fēi/zhě
来着	lái/zhe
来者不善	lái/zhě/bù/shàn
来者不善，善者不来	lái/zhě/bù/shàn/<py_unk>/shàn/zhě/bù/lái
来者不拒	lái/zhě/bù/jù
来者勿拒	lái/zhě/wù/jù
来者可追	lái/zhě/kě/zhuī
来者居上	lái/zhě/jū/shàng
来而不往非礼也	lái/ér/bù/wǎng/fēi/lǐ/yě
来苏	lái/sū
来路不明	lái/lù/bù/míng
来踪去路	lái/zōng/qù/lù
来踪去迹	lái/zōng/qù/jì
来迎去送	lái/yíng/qù/sòng
来鸿去燕	lái/hóng/qù/yàn
来龙去脉	lái/lóng/qù/mài
杨朱泣岐	yáng/zhū/qì/qí
杨柳依依	yáng/liǔ/yī/yī
杨柳宫眉	yáng/liǔ/gōng/méi
杨生黄雀	yáng/shēng/huáng/què
杨穿三叶	yáng/chuān/sān/yè
杨花心性	yáng/huā/xīn/xìng
杨花水性	yáng/hu/huǐ/xìng
杨虎围匡	yáng/hǔ/wéi/kuāng
杨雀衔环	yáng/què/xián/huán
杯中之物	bēi/zhōng/zhī/wù
杯中物	bēi/zhōng/wù
杯中蛇影	bēi/zhōng/shé/yǐng
杯子	bēi/zi
杯弓市虎	bēi/gōng/shì/hǔ
杯弓蛇影	bēi/gōng/shé/yǐng
杯影蛇弓	bēi/yǐng/shé/gōng
杯水之敬	bēi/shuǐ/zhī/jìng
杯水之谢	bēi/shuǐ/zhī/xiè
杯水粒粟	bēi/shuǐ/lì/sù
杯水舆薪	bēi/shuǐ/yú/xīn
杯水车薪	bēi/shuǐ/chē/xīn
杯盘狼籍	bēi/pán/láng/jí
杯盘狼藉	bēi/pán/láng/jí
杯羹之让	bēi/gēng/zhī/ràng
杯茗之敬	bēi/míng/zhī/jìng
杯蛇幻影	bēi/shé/huàn/yǐng
杯蛇鬼车	bēi/shé/guǐ/chē
杯觥交错	bēi/gōng/jiāo/cuò
杯酒戈矛	bēi/jiǔ/gē/máo
杯酒解怨	bēi/jiǔ/jiě/yuàn
杯酒言欢	bēi/jiǔ/yán/huān
杯酒释兵权	bēi/jiǔ/shì/bīng/quán
杳不可闻	yǎo/bù/kě/wén
杳如黄鹤	yǎo/rú/huáng/hè
杳无人烟	yǎo/wú/rén/yān
杳无人迹	yǎo/wú/rén/jì
杳无信息	yǎo/wú/xìn/xī
杳无影响	yǎo/wú/yǐng/xiǎng
杳无消息	yǎo/wú/xiāo/xī
杳无踪影	yǎo/wú/zōng/yǐng
杳无踪迹	yǎo/wú/zōng/jī
杳无音信	yǎo/wú/yīn/xìn
杳无音耗	yǎo/wú/yīn/hào
杳无音讯	yǎo/wú/yīn/xùn
杵臼之交	chǔ/jiù/zhī/jiāo
杵臼交	chǔ/jiù/jiāo
杷罗剔抉	pá/luó/tī/jué
杼柚之空	zhù/zhóu/zhī/kōng
杼柚其空	zhù/zhóu/qí/kōng
杼柚空虚	zhù/zhóu/kōng/xū
松乔之寿	sōng/qiáo/zhī/shòu
松劲	sōng/jìn
松叶	sōng/yè
松形鹤骨	sōng/xíng/hè/gǔ
松散	sōng/sǎn
松枝挂剑	sōng/zhī/guà/jiàn
松柏	sōng/bǎi
松柏之寿	sōng/bǎi/zhī/shòu
松柏之志	sōng/bǎi/zhī/zhì
松柏之茂	sōng/bǎi/zhī/mào
松柏后凋	sōng/bǎi/hòu/diāo
松柏寒盟	sōng/bǎi/hán/méng
松筠之节	sōng/jūn/zhī/jié
松节	sōng/jié
松节油	sōng/jié/yóu
松茂竹苞	sōng/mào/zhú/bāo
松萝共倚	sōng/luó/gòng/yǐ
板上砸钉	bǎn/shàng/zá/dīng
板上钉钉	bǎn/shàng/dìng/dīng
板刷	bǎn/shuā
板子	bǎn/zi
板板六十四	bǎn/bǎn/liù/shí/sì
板正	bǎn/zhèng
板结	bǎn/jié
板车	bǎn/chē
板铺	bǎn/pù
极为	jí/wéi
极乐	jí/lè
极乐世界	jí/lè/shì/jiè
极乐鸟	jí/lè/niǎo
极其	jí/qí
极则必反	jí/zé/bì/fǎn
极化	jí/huà
极口项斯	jí/kǒu/xiàng/sī
极古穷今	jí/gǔ/qióng/jīn
极圈	jí/quān
极地	jí/dì
极大	jí/dà
极大值	jí/dà/zhí
极天罔地	jí/tiān/wǎng/dì
极天蟠地	jí/tiān/pán/dì
极天际地	jí/tiān/jì/dì
极好	jí/hǎo
极寿无疆	jí/shòu/wú/jiāng
极少数	jí/shǎo/shù
极度	jí/dù
极往知来	jí/wǎng/zhī/lái
极恶	jí/è
极恶不赦	jí/è/bù/shè
极恶穷凶	jí/è/qióng/xiōng
极情尽致	jí/qíng/jìn/zhì
极情纵欲	jí/qíng/zòng/yù
极智穷思	jí/zhì/qióng/sī
极本穷源	jí/běn/qióng/yuán
极武穷兵	jí/wǔ/qióng/bīng
极深研几	jí/shēn/yán/jī
极深研幾	jí/shēn/yán/jī
极盛	jí/shèng
极目远望	jí/mù/yuǎn/wàng
极目远眺	jí/mù/yuǎn/tiào
极目迥望	jí/mù/jiǒng/wàng
极而言之	jí/ér/yán/zhī
极重不反	jí/zhòng/bù/fǎn
极重难返	jí/zhòng/nán/fǎn
极量	jí/liàng
构思	gòu/sī
构筑	gòu/zhù
构筑物	gòu/zhù/wù
构造地震	gòu/zào/dì/zhèn
枇杷门巷	pí/pá/mén/xiàng
枉勘虚招	wǎng/kān/xū/zhāo
枉口嚼舌	wǎng/kǒu/jiáo/shé
枉口拔舌	wǎng/kǒu/bá/shé
枉口诳舌	wǎng/kǒu/kuáng/shé
枉墨矫绳	wǎng/mò/jiǎo/shéng
枉尺直寻	wǎng/chǐ/zhí/xún
枉己正人	wǎng/jǐ/zhèng/rén
枉曲直凑	wǎng/qǔ/zhí/còu
枉法徇私	wǎng/fǎ/xùn/sī
枉物难消	wǎng/wù/nán/xiāo
枉用心机	wǎng/yòng/xīn/jī
枉直同贯	wǎng/zhí/tóng/guàn
枉直随形	wǎng/zhí/suí/xíng
枉矢哨壶	wǎng/shǐ/qiào/hú
枉矫过激	wǎng/jiǎo/guò/jī
枉突徙薪	wǎng/tū/xǐ/xīn
枉费唇舌	wǎng/fèi/chún/shé
枉费工夫	wǎng/fèi/gōng/fū
枉费心力	wǎng/fèi/xīn/lì
枉费心思	wǎng/fèi/xīn/sī
枉费心机	wǎng/fèi/xīn/jī
枉费心计	wǎng/fèi/xīn/jì
枉费日月	wǎng/fèi/rì/yuè
枉辔学步	wǎng/pèi/xué/bù
枉道事人	wǎng/dào/shì/rén
析交离亲	xī/jiāo/lí/qīn
析圭儋爵	xī/guī/dān/jué
析圭分组	xī/guī/fēn/zǔ
析圭担爵	xī/guī/dān/jué
析律舞文	xī/lǜ/wǔ/wēn
析律贰端	xī/lǜ/èr/duān
析微察异	xī/wēi/chá/yì
析毫剖厘	xī/háo/pōu/lí
析毫剖芒	xī/háo/pōu/máng
析珪判野	xī/guī/pàn/yě
析珪胙土	xī/guī/zuò/tǔ
析疑	xī/yí
析疑匡谬	xī/yí/kuāng/miù
析精剖微	xī/jīng/pōu/wēi
析缕分条	xī/lǚ/fēn/tiáo
析肝刿胆	xī/gān/guì/dǎn
析肝吐胆	xī/gān/tǔ/dǎn
析肝沥悃	xī/gān/lì/kǔn
析言破律	xī/yán/pò/lǜ
析辨诡词	xī/biàn/guǐ/cí
析辨诡辞	xī/biàn/guǐ/cí
析辩诡辞	xī/biàn/guǐ/cí
析骨而炊	xī/gǔ/ér/chuī
析骸以爨	xī/hái/yǐ/cuàn
析骸易子	xī/hái/yì/zǐ
枕中鸿宝	zhěn/zhōng/hóng/bǎo
枕典席文	zhěn/diǎn/xí/wén
枕冷衾寒	zhěn/lěng/qīn/hán
枕善而居	zhěn/shàn/ér/jū
枕头	zhěn/tou
枕头风	zhěn/tou/fēng
枕山栖谷	zhěn/shān/qī/gǔ
枕山臂江	zhěn/shān/bì/jiāng
枕山襟海	zhěn/shān/jīn/hǎi
枕山负海	zhěn/shān/fù/hǎi
枕岩漱流	zhěn/yán/shù/liú
枕席过师	zhěn/xí/guò/shī
枕席还师	zhěn/xí/huán/shī
枕干之雠	zhěn/gàn/zhī/chóu
枕戈以待	zhěn/gē/yǐ/dài
枕戈击楫	zhěn/gē/jī/jí
枕戈剚刃	zhěn/gē/zì/rèn
枕戈坐甲	zhěn/gē/zuò/jiǎ
枕戈寝甲	zhěn/gē/qǐn/jiǎ
枕戈尝胆	zhěn/gē/cháng/dǎn
枕戈待命	zhěn/gē/dài/mìng
枕戈待敌	zhěn/gē/dài/dí
枕戈待旦	zhěn/gē/dài/dàn
枕戈披甲	zhěn/gē/pī/jiǎ
枕戈汗马	zhěn/gē/hàn/mǎ
枕戈泣血	zhěn/gē/qì/xuè
枕戈达旦	zhěn/gē/dá/dàn
枕戈饮胆	zhěn/gē/yǐn/dǎn
枕戈饮血	zhěn/gē/yǐn/xuè
枕方寝绳	zhěn/fāng/qǐn/shéng
枕曲藉糟	zhěn/qū/jiè/zāo
枕流漱石	zhěn/liú/shù/shí
枕石嗽流	zhěn/shí/shù/liú
枕石寝绳	zhěn/shí/qǐn/shéng
枕石漱流	zhěn/shí/sòu/liú
枕稳衾温	zhěn/wěn/qīn/wēn
枕籍经史	zhěn/jí/jīng/shǐ
枕经籍书	zhěn/jīng/jí/shū
枕藉	zhěn/jiè
枕骨	zhěn/gǔ
枕麹藉糟	zhěn/qū/jiè/zāo
枕黮藉糟	zhěn/qū/jiè/zāo
林下清风	lín/xià/qīng/fēng
林下风度	lín/xià/fēng/dù
林下风气	lín/xià/fēng/qì
林下风致	lín/xià/fēng/zhì
林下风范	lín/xià/fēng/fàn
林下风韵	lín/xià/fēng/yùn
林下高风	lín/xià/gāo/fēng
林冠	lín/guān
林务员	lín/wù/yuán
林区	lín/qū
林地	lín/dì
林场	lín/chǎng
林寒洞肃	lín/hán/dòng/sù
林寒涧肃	lín/hán/jiàn/sù
林林总总	lín/lín/zǒng/zǒng
林栖谷隐	lín/qī/gǔ/yǐn
林甸	lín/diàn
林籁泉韵	lín/lài/quán/yùn
林荫道	lín/yīn/dào
枘凿冰炭	ruì/záo/bīng/tàn
枘凿方圆	ruì/záo/fāng/yuán
枘圆凿方	rùi/yuán/záo/fāng
枚速马工	mǎ/gōng/méi/sù
果不其然	guǒ/bù/qí/rán
果于自信	guǒ/yú/zì/xìn
果刑信赏	guǒ/xíng/xìn/shǎng
果子露	guǒ/zǐ/lù
果干	guǒ/gàn
果枝	guǒ/zhī
果核	guǒ/hé
果然如此	guǒ/rán/rú/cǐ
果熟蒂落	guǒ/shú/dì/luò
果行育德	guǒ/xíng/yù/dé
枝丫	zhī/yā
枝分叶散	zhī/fēn/yè/sàn
枝分缕解	zhī/fēn/lǚ/jiě
枝别条异	zhī/bié/tiáo/yì
枝叶	zhī/yè
枝叶扶疏	zhī/yè/fú/shū
枝叶扶苏	zhī/yè/fú/sū
枝叶相持	zhī/yè/xīng/chí
枝外生枝	zhī/wài/shēng/zhī
枝大于本	zhī/dà/yù/běn
枝头	zhī/tóu
枝子	zhī/zǐ
枝对叶比	zhī/duì/yè/bǐ
枝布叶分	zhī/bù/yè/fēn
枝干	zhī/gàn
枝干相持	zhī/gàn/xiāng/chí
枝接	zhī/jiē
枝末生根	zhī/mò/shēng/gēn
枝杈	zhī/chà
枝条	zhī/tiáo
枝枝节节	zhī/zhī/jié/jié
枝柯	zhī/kē
枝梢	zhī/shāo
枝梧	zhī/wú
枝流叶布	zhī/liú/yè/bù
枝源派本	zhī/yuán/pài/běn
枝繁叶茂	zhī/fán/yè/mào
枝节	zhī/jié
枝节横生	zhī/jié/héng/shēng
枝蔓	zhī/wàn
枝词蔓语	zhī/cí/màn/yǔ
枝词蔓说	zhī/cí/màn/shuō
枝辞蔓语	zhī/cí/màn/yǔ
枝附叶从	zhī/fù/yè/cóng
枝附叶着	zhī/fù/yè/zhuó
枝附叶著	zhī/fù/yè/zhuó
枝附叶连	zhī/fù/yè/lián
枝附影从	zhī/fù/yǐng/cóng
枞树	cōng/shù
枞阳	zōng/yáng
枢要	shū/yào
枢轴	shū/zhóu
枣子	zǎo/zi
枣核	zǎo/hé
枣泥	zǎo/ní
枣红	zǎo/hóng
枪刺	qiāng/cì
枪声刀影	qiāng/shēng/dāo/yǐng
枪弹	qiāng/dàn
枪打出头鸟	qiāng/dǎ/chū/tóu/niǎo
枪术	qiāng/shù
枪杆	qiāng/gǎn
枪杆子	qiāng/gǎn/zi
枪林刀树	qiāng/lín/dāo/shù
枪林弹雨	qiāng/lín/dàn/yǔ
枪枝	qiāng/zhī
枪榴弹	qiāng/liú/dàn
枪炮	qiāng/pào
枪烟炮雨	qiāng/yān/pào/yǔ
枪烟砲雨	qiāng/yān/pào/yǔ
枫叶	fēng/yè
枭俊禽敌	xiāo/jùn/qín/dí
枭将	xiāo/jiāng
枭心鹤貌	xiāo/xīn/hè/mào
枭蛇鬼怪	xiāo/shé/guǐ/guài
枭视狼顾	xiāo/shì/láng/gù
枭首示众	xiāo/shǒu/shì/zhòng
枯体灰心	kū/tǐ/huī/xīn
枯叶	kū/yè
枯干	kū/gān
枯形灰心	kū/xíng/huī/xīn
枯木再生	kū/mù/zài/shēng
枯木发荣	kū/mù/fā/róng
枯木朽株	kū/mù/xiǔ/zhū
枯木死灰	kū/mù/sǐ/huī
枯木生花	kū/mù/shēng/huā
枯木逢春	kū/mù/féng/chūn
枯本竭源	kū/běn/jié/yuán
枯朽之余	kū/xiǔ/zhī/yú
枯杨生稊	kū/yáng/shēng/tí
枯枝	kū/zhī
枯枝再春	kū/zhī/zài/chūn
枯枝败叶	kū/zhī/bài/yè
枯枿朽株	kū/niǎo/xiǔ/zhū
枯树开花	kū/shù/kāi/huā
枯树生华	kū/shù/shēng/huā
枯树生花	kū/shù/shēng/huā
枯树逢春	kū/shù/féng/chūn
枯株朽木	kū/zhū/xiǔ/mù
枯燥无味	kū/zào/wú/wèi
枯耘伤岁	kū/yún/shāng/suì
枯脑焦心	kū/nǎo/jiāo/xīn
枯苗望雨	kū/miáo/wàng/yǔ
枯蓬断草	kū/péng/duàn/cǎo
枯骨	kū/gǔ
枯骨之馀	kū/gǔ/zhī/yú
枯骨生肉	kū/gǔ/shēng/ròu
枯鱼之肆	kū/yú/zhī/sì
枯鱼涸辙	kū/yú/hé/zhé
枯鱼病鹤	kū/yú/bìng/hè
枯鱼衔索	kū/yú/xián/suǒ
枳壳	zhǐ/ké
枵腹从公	xiāo/fù/cóng/gōng
枵腹终朝	xiāo/fù/zhōng/cháo
架不住	jià/bú/zhù
架子	jià/zi
架子车	jià/zi/chē
架屋叠床	jià/wū/dié/chuáng
架屋迭床	jià/wū/dié/chuáng
架海金梁	jià/hǎi/jīn/liáng
架空	jià/kōng
架肩击毂	jià/jiān/jī/gū
架肩接踵	jià/jiān/jiē/zhǒng
架谎凿空	jià/huǎng/záo/kōng
枷脰械手	jiā/dòu/xiè/shǒu
枸杞	gǒu/qǐ
枸杞子	gǒu/qǐ/zǐ
枸橘	gōu/jú
枸橼	jǔ/yuán
柏乡	bǎi/xiāng
柏拉图	bó/lā/tú
柏林	bó/lín
柏油	bǎi/yóu
柏油纸	bó/yóu/zhǐ
柏油路	bǎi/yóu/lù
柏舟之节	bǎi/zhōu/zhī/jié
柏舟之誓	bǎi/zhōu/zhī/shì
某个	mǒu/gè
某些	mǒu/xiē
某地	mǒu/dì
染丝之变	rǎn/sī/zhī/biàn
染坊	rǎn/fáng
染指于鼎	rǎn/zhǐ/yú/dǐng
染指垂涎	rǎn/zhǐ/chuí/xián
染旧作新	rǎn/jiù/zuò/xīn
染毒	rǎn/dú
染神乱志	rǎn/shén/luàn/zhì
染神刻骨	rǎn/shén/kè/gǔ
染翰成章	rǎn/hàn/chéng/zhāng
染色体	rǎn/sè/tǐ
染苍染黄	rǎn/cāng/rǎn/huáng
染蓝涅皂	rǎn/lán/niè/zǎo
染须种齿	rǎn/xū/zhǒng/chǐ
染风习俗	rǎn/fēng/xí/sú
柔化	róu/huà
柔和	róu/hé
柔声下气	róu/shēng/xià/qì
柔心弱骨	róu/xīn/ruò/gǔ
柔情侠骨	róu/qíng/xiá/gǔ
柔情媚态	róu/qíng/mèi/tài
柔情密意	róu/qíng/mì/yì
柔情绰态	róu/qíng/chuō/tai
柔情蜜意	róu/qíng/mì/yì
柔懦寡断	róu/nuò/guǎ/duàn
柔术	róu/shù
柔枝嫩叶	róu/zhī/nèn/yè
柔枝嫩条	róu/zhī/nèn/tiáo
柔筋脆骨	róu/jīn/cuì/gǔ
柔而不犯	róu/ér/bù/fàn
柔肠寸断	róu/cháng/cùn/duàn
柔肠百结	róu/cháng/bǎi/jié
柔肠百转	róu/cháng/bǎi/zhuǎn
柔肤弱体	róu/fū/ruò/tǐ
柔能克刚	róu/néng/kè/gāng
柔能制刚	róu/néng/zhì/gāng
柔茹刚吐	róu/rú/gāng/tǔ
柔茹寡断	róu/rú/guǎ/duàn
柔远怀来	róu/yuǎn/huái/lái
柔远怀迩	róu/yuǎn/huái/ěr
柔远绥怀	róu/yuǎn/suí/huái
柔远能迩	róu/yuǎn/néng/ěr
柔远镇迩	róu/yuǎn/zhèn/ěr
柙虎樊熊	xiá/hǔ/fán/xióng
柚子	yòu/zi
柚木	yóu/mù
柜上	guì/shàng
柜台	guì/tái
柜子	guì/zi
柜房	guì/fáng
柜橱	guì/chú
柞丝绸	zuò/sī/chóu
柞水	zhà/shuǐ
柞绸	zuò/chóu
柞蚕	zuò/cán
查办	chá/bàn
查勘	chá/kān
查勤	chá/qín
查号台	chá/hào/tái
查哨	chá/shào
查处	chá/chǔ
查夜	chá/yè
查实	chá/shí
查对	chá/duì
查封	chá/fēng
查岗	chá/gǎng
查帐	chá/zhàng
查房	chá/fáng
查扣	chá/kòu
查找	chá/zhǎo
查抄	chá/chāo
查收	chá/shōu
查无实据	chá/wú/shí/jù
查明	chá/míng
查查	zhā/zhā
查核	chá/hé
查案	chá/àn
查检	chá/jiǎn
查清	chá/qīng
查点	chá/diǎn
查照	chá/zhào
查看	chá/kàn
查禁	chá/jìn
查私	chá/sī
查究	chá/jiū
查缉	chá/jī
查考	chá/kǎo
查获	chá/huò
查访	chá/fǎng
查证	chá/zhèng
查询	chá/xún
查账	chá/zhàng
查铺	chá/pù
查问	chá/wèn
查阅	chá/yuè
查验	chá/yàn
柩车	jiù/chē
柬帖	jiǎn/tiě
柱天踏地	zhù/tiān/tà/dì
柱小倾大	zhù/xiǎo/qīng/dà
柱石	zhù/shí
柱石之坚	zhù/shí/zhī/jiān
柳下借阴	liǔ/xià/jiè/yīn
柳亸花娇	liǔ/duǒ/huā/jiāo
柳亸莺娇	liǔ/duǒ/yīng/jiāo
柳体	liǔ/tǐ
柳叶	liǔ/yè
柳叶眉	liǔ/yè/méi
柳啼花怨	liǔ/tí/huā/yuàn
柳圣花神	liǔ/shèng/huā/shén
柳夭桃艳	liǔ/yāo/táo/yèn
柳娇花媚	liǔ/jiāo/huā/mèi
柳子戏	liǔ/zǐ/xì
柳宠花迷	liǔ/chǒng/huà/mí
柳巷	liǔ/xiàng
柳巷花街	liǔ/xiòng/huā/jiē
柳市花街	liǔ/shì/huā/jiē
柳弱花娇	liǔ/ruò/huā/jiāo
柳影花阴	liǔ/yǐng/huā/yīn
柳户花门	liǔ/hù/huā/mén
柳折花残	liǔ/zhé/huā/cán
柳昏花螟	liǔ/hūn/huā/míng
柳暖花春	liǔ/nuǎn/huā/chūn
柳暗花明	liǔ/àn/huā/míng
柳暗花明又一村	liǔ/àn/huā/míng/yòu/yī/cūn
柳暗花遮	liǔ/àn/huā/zhē
柳条	liǔ/tiáo
柳条帽	liǔ/tiáo/mào
柳枝	liǔ/zhī
柳梢	liǔ/shāo
柳泣花啼	liǔ/qì/huā/tí
柳烟花雾	liǔ/yān/huā/wù
柳眉倒竖	liǔ/méi/dào/shù
柳眉剔竖	liǔ/méi/tī/shù
柳眉星眼	liǔ/méi/xīng/yǎn
柳眉踢竖	liǔ/méi/tī/shù
柳絮才高	liǔ/xù/cái/gāo
柳绿桃红	liǔ/lǜ/táo/hóng
柳绿花红	liǔ/lǜ/huā/hóng
柳腰花态	liǔ/yāo/huā/tài
柳腰莲脸	liǔ/yāo/lián/lián
柳荫	liǔ/yīn
柳莺花燕	liǔ/yīng/huā/yàn
柳营花市	liǔ/yíng/huā/shì
柳营花阵	liǔ/yíng/huā/zhèn
柳街花巷	liǔ/jiē/huā/xiòng
柳衢花市	liǔ/qú/huā/shì
柳门竹巷	liǔ/mén/zhú/xiàng
柳陌花丛	liǔ/mò/huā/cóng
柳陌花街	liǔ/mò/huā/jiē
柳陌花衢	liǔ/mò/huā/qú
柳骨颜筋	jiǔ/gǔ/yán/jīn
柴垛	chái/duǒ
柴天改物	chái/tiān/gǎi/wù
柴天改玉	chái/tiān/gǎi/yù
柴毁灭性	chái/huǐ/miè/xìng
柴毁骨立	chái/huǐ/gǔ/lì
柴沟堡	chái/gōu/bǔ
柴立不阿	chái/lì/bù/ē
柴米夫妻	chái/mǐ/fū/qī
柴米油盐	chái/mǐ/yóu/yán
柴达木盆地	chái/dá/mù/pén/dì
柿子	shì/zi
栅子	zhà/zǐ
栅极	shān/jí
栅栏	zhà/lán
栅门	zhà/mén
标价	biāo/jià
标准化	biāo/zhǔn/huà
标准大气压	biāo/zhǔn/dà/qì/yā
标准时区	biāo/zhǔn/shí/qū
标准语	biāo/zhǔn/yǔ
标号	biāo/hào
标同伐异	biāo/tóng/fá/yì
标尺	biāo/chǐ
标底	biāo/dǐ
标度	biāo/dù
标情夺趣	biāo/qíng/duó/qù
标新创异	biāo/xīn/chuàng/yì
标新立异	biāo/xīn/lì/yì
标新竖异	biāo/xīn/shù/yì
标新竞异	biāo/xīn/jìng/yì
标新领异	biāo/xīn/lǐng/yì
标杆	biāo/gān
标枝野鹿	biāo/zhī/yě/lù
标榜	biāo/bǎng
标点符号	biāo/diǎn/fú/hào
标的	biāo/dì
标称	biāo/chēng
标识	biāo/zhì
标语	biāo/yǔ
标量	biāo/liàng
标题音乐	biāo/tí/yīn/yuè
栈山航海	zhàn/shān/háng/hǎi
栉垢爬痒	zhì/gòu/pá/yǎng
栉比鳞差	zhì/bǐ/lín/cǐ
栉比鳞次	zhì/bǐ/lín/cì
栉比鳞臻	zhì/bǐ/lín/zhēn
栉沐风雨	zhì/mù/fēng/yǔ
栉霜沐露	zhì/shuāng/mù/lù
栉风沐雨	zhì/fēng/mù/yǔ
栉风酾雨	zhì/fēng/shī/yǔ
栋折榱坏	dòng/shé/cuī/huài
栋折榱崩	dòng/zhé/cuī/bēng
栋朽榱崩	dòng/xiǔ/cuī/bēng
栋梁之才	dòng/liáng/zhī/cái
栋梁之材	dòng/liáng/zhī/cái
栎木	lì/mù
栎树	lì/shù
栎阳雨金	lì/yáng/yǔ/jīn
栏干	lán/gān
栏杆	lán/gān
栏柜	lán/guì
栏栅	lán/shān
树上开花	shù/shàng/kāi/huā
树俗立化	shù/sú/lì/huà
树倒根摧	shù/dǎo/gēn/cuī
树倒猢孙散	shù/dǎo/hú/sūn/sàn
树倒猢狲散	shù/dǎo/hú/sūn/sàn
树元立嫡	shù/yuán/lì/dí
树冠	shù/guān
树叶	shù/yè
树同拔异	shù/tóng/bá/yì
树大招风	shù/dà/zhāo/fēng
树大根深	shù/dà/gēn/shēn
树干	shù/gàn
树德务滋	shù/dé/wù/zī
树杈	shù/chà
树枝	shù/zhī
树梢	shù/shāo
