譴	谴
護	护
譸	诪
譽	誉
譾	谫
讀	读
變	变
讎	雠
讒	谗
讓	让
讕	谰
讖	谶
讜	谠
讞	谳
豈	岂
豎	竖
豐	丰
豬	猪
豶	豮
貓	猫
貙	䝙
貝	贝
貞	贞
貟	贠
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀
貳	贰
貴	贵
貶	贬
買	买
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賙	赒
賚	赉
賜	赐
賞	赏
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賰	䞐
賴	赖
賵	赗
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贄	贽
贅	赘
贇	赟
贈	赠
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贓	赃
贔	赑
贖	赎
贗	赝
贛	赣
贜	赃
赬	赪
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
踐	践
踴	踊
蹌	跄
蹕	跸
蹣	蹒
蹤	踪
蹺	跷
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躑	踯
躒	跞
躓	踬
躕	蹰
躚	跹
躡	蹑
躥	蹿
躦	躜
躪	躏
軀	躯
車	车
軋	轧
軌	轨
軍	军
軑	轪
軒	轩
軔	轫
軛	轭
軟	软
軤	轷
軫	轸
軲	轱
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
較	较
輅	辂
輇	辁
輈	辀
載	载
輊	轾
輒	辄
輓	挽
輔	辅
輕	轻
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輥	辊
輦	辇
輩	辈
輪	轮
輬	辌
輯	辑
輳	辏
輸	输
輻	辐
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
轉	转
轍	辙
轎	轿
轔	辚
轟	轰
轡	辔
轢	轹
轤	轳
辦	办
辭	辞
辮	辫
辯	辩
農	农
迴	回
逕	迳
這	这
連	连
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
適	适
遲	迟
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
郟	郏
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
鄧	邓
鄭	郑
鄰	邻
鄲	郸
鄴	邺
鄶	郐
鄺	邝
酇	酂
酈	郦
醖	酝
醜	丑
醞	酝
醫	医
醬	酱
醱	酦
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘
釒	钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
針	针
釣	钓
釤	钐
釧	钏
釩	钒
釵	钗
釷	钍
釹	钕
釺	钎
鈀	钯
鈁	钫
鈃	钘
鈄	钭
鈈	钚
鈉	钠
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈒	钑
鈔	钞
鈕	钮
鈞	钧
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
鈰	铈
鈳	钶
鈴	铃
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈽	钸
鈾	铀
鈿	钿
鉀	钾
鉅	钜
鉈	铊
鉉	铉
鉋	铇
鉍	铋
鉑	铂
鉕	钷
鉗	钳
鉚	铆
鉛	铅
鉞	钺
鉢	钵
鉤	钩
鉦	钲
鉬	钼
鉭	钽
鉶	铏
鉸	铰
鉺	铒
鉻	铬
鉿	铪
銀	银
銃	铳
銅	铜
銍	铚
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銛	铦
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
銳	锐
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
鋃	锒
鋅	锌
鋇	钡
鋌	铤
鋏	铗
鋒	锋
鋙	铻
鋝	锊
鋟	锓
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋩	铓
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋼	钢
錁	锞
錄	录
錆	锖
錇	锫
錈	锩
錏	铔
錐	锥
錒	锕
錕	锟
錘	锤
錙	锱
錚	铮
錛	锛
錟	锬
錠	锭
錡	锜
錢	钱
錦	锦
錨	锚
錩	锠
錫	锡
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
鍀	锝
鍁	锨
鍃	锪
鍆	钔
鍇	锴
鍈	锳
鍋	锅
鍍	镀
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鍰	锾
鍵	键
鍶	锶
鍺	锗
鎂	镁
鎄	锿
鎇	镅
鎊	镑
鎔	镕
鎖	锁
鎘	镉
鎚	锤
鎛	镈
鎝	𨱏
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎮	镇
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎸	镌
鎿	镎
鏃	镞
鏇	镟
鏈	链
鏌	镆
鏍	镙
鏐	镠
鏑	镝
鏗	铿
鏘	锵
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
鏨	錾
鏰	镚
鏵	铧
鏷	镤
鏹	镪
鏽	锈
鐃	铙
鐋	铴
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐦	锎
鐧	锏
鐨	镄
鐫	镌
鐮	镰
鐲	镯
鐳	镭
鐵	铁
鐶	镮
鐸	铎
鐺	铛
鐿	镱
鑄	铸
鑊	镬
鑌	镔
鑒	鉴
鑔	镲
鑕	锧
鑞	镴
鑠	铄
鑣	镳
鑥	镥
鑭	镧
鑰	钥
鑱	镵
鑲	镶
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
钁	镢
長	长
門	门
閂	闩
閃	闪
閆	闫
閈	闬
閉	闭
開	开
閌	闶
閎	闳
閏	闰
閑	闲
間	间
閔	闵
閘	闸
閡	阂
閣	阁
閤	合
閥	阀
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閱	阅
閲	阅
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闆	板
闈	闱
闊	阔
闋	阕
闌	阑
闍	阇
闐	阗
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
關	关
闞	阚
闠	阓
闡	阐
闤	阛
闥	闼
阪	坂
陘	陉
陝	陕
陣	阵
陰	阴
陳	陈
陸	陆
陽	阳
隉	陧
隊	队
階	阶
隕	陨
際	际
隨	随
險	险
隱	隐
隴	陇
隸	隶
隻	只
雋	隽
雖	虽
雙	双
雛	雏
雜	杂
雞	鸡
離	离
難	难
雲	云
電	电
霢	霡
霧	雾
霽	霁
靂	雳
靄	霭
靈	灵
靚	靓
靜	静
靨	靥
鞀	鼗
鞏	巩
鞝	绱
鞦	秋
鞽	鞒
韁	缰
韃	鞑
韆	千
韉	鞯
韋	韦
韌	韧
韍	韨
韓	韩
韙	韪
韜	韬
韞	韫
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頎	颀
頏	颃
預	预
頑	顽
頒	颁
頓	顿
頗	颇
領	领
頜	颌
頡	颉
頤	颐
頦	颏
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頷	颔
頸	颈
頹	颓
頻	频
頽	颓
顆	颗
題	题
額	额
顎	颚
顏	颜
顒	颙
顓	颛
顔	颜
願	愿
顙	颡
顛	颠
類	类
顢	颟
顥	颢
顧	顾
顫	颤
顬	颥
顯	显
顰	颦
顱	颅
顳	颞
顴	颧
風	风
颭	飐
颮	飑
颯	飒
颱	台
颳	刮
颶	飓
颸	飔
颺	飏
颻	飖
颼	飕
飀	飗
飄	飘
飆	飙
飈	飚
飛	飞
飠	饣
飢	饥
飣	饤
飥	饦
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飲	饮
飴	饴
飼	饲
飽	饱
飾	饰
飿	饳
餃	饺
餄	饸
餅	饼
餉	饷
養	养
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
餕	馂
餖	饾
餚	肴
餛	馄
餜	馃
餞	饯
餡	馅
館	馆
餱	糇
餳	饧
餶	馉
餷	馇
餺	馎
餼	饩
